machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
symmetry-xeon6148	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	14.74	14.564445	61	pdOPT	-4.7926054387208136e-01	13.9	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	23.52	23.388160	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	23.5	23.372177	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	23.45	23.320484	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	1	0.8	0.782229	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	2	0.81	0.783116	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	3	0.81	0.783408	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	1	0.9	0.883496	52	pdOPT	-5.3812637297885203e-01	6.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	2	0.91	0.893203	52	pdOPT	-5.3812637297885203e-01	6.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	3	0.92	0.892843	52	pdOPT	-5.3812637297885203e-01	6.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	1	10.63	10.454367	61	pdOPT	-4.7926054387208136e-01	22.0	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	2	10.62	10.445802	61	pdOPT	-4.7926054387208136e-01	22.5	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	3	10.55	10.371044	61	pdOPT	-4.7926054387208136e-01	22.5	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	1	23.18	23.048307	61	pdOPT	-4.7926054387208136e-01	13.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	2	23.13	22.985832	61	pdOPT	-4.7926054387208136e-01	13.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	10_min	74	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	3	23.15	23.015645	61	pdOPT	-4.7926054387208136e-01	13.7	ok	0	out_main/rows_Amin_t40.tsv
symmetry-xeon6148	gmp	8_min	19	up_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	1	0.7	0.687442	52	pdOPT	-5.3812637297885203e-01	6.3	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	8_min	19	up_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	2	0.71	0.692053	52	pdOPT	-5.3812637297885203e-01	6.3	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	8_min	19	up_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	3	0.72	0.695590	52	pdOPT	-5.3812637297885203e-01	6.3	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	1	0.8	0.774778	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	2	0.8	0.775028	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	3	0.79	0.772002	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t8.tsv
symmetry-xeon6148	gmp	10_min	74	up_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	1	21.96	21.823157	61	pdOPT	-4.7926054387208136e-01	13.3	ok	0	out_main/rows_Amin_t8.tsv
